"specimen","group","binom.p.val","binom.p.adjusted","binom.score","wilcox.p.val","wilcox.p.adjusted","wilcox.score","comb_score","mean.d","sum.abs.d","total_predictions","match_d_over_0.5","match_rate","perm_success_binom","perm_success_matched_d","perm_success_U","perm_success_mean_d","perm_success_dist","permutations","perm.p.val","perm.p.adjusted","normalize","norm_method","EKB","cranial_capacity","greater_than_AMH","less_than_AMH","greater_than_NE","less_than_NE","available.measurements"
"dali","MPH",0.0625,0.1875,1.20411998265592,0.03125,0.09375,1.50514997831991,1.92753246143034,0.316,2.03595482113733,6,5,0.833,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",116.9,1120,0,0,4,2,142
"Homo_longi","MPH",0.14453125,0.216796875,0.840038241244855,0.109375,0.1484375,0.96108193396963,1.27645710094643,0.26,2.91578918385723,7,5,0.714,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",130.9,1400,0,0,5,2,145
"la_ferrassie_1","NE",0.14453125,NA,0.840038241244855,0.234375,NA,0.630088714928206,1.05008382305111,0.113,1.9742839042131,7,5,0.714,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",112.8,1643,0,0,5,2,144
"shanidar_1","NE",0.14453125,NA,0.840038241244855,0.15625,NA,0.806179973983887,1.16429824237882,0.12,2.20520007132314,7,5,0.714,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",106.5,1650,0,0,5,2,144
"amud","NE",0.2265625,NA,0.644811971748912,0.375,NA,0.425968732272281,0.772807763796647,0.058,1.70784546873021,6,4,0.667,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",115.6,1747,0,0,4,2,125
"spy_i","NE",0.3125,NA,0.505149978319906,0.25,NA,0.602059991327962,0.785908858427253,0.244,0.991223832528182,3,2,0.667,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",NA,1531,0,0,2,1,81
"saccopastore_ii","NE",0.34375,NA,0.463757293161681,0.375,NA,0.425968732272281,0.629698489623648,0.042,1.04531161622784,5,3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",132.2,1295,0,0,3,2,84
"broken_hill","MPH",0.36328125,0.36328125,0.439757016757914,0.1484375,0.1484375,0.828456368695039,0.937937198654148,0.203,1.89519490973017,7,4,0.571,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",124.9,1249,0,0,5,2,145
"cesaire","NE",0.5,NA,0.301029995663981,0.5,NA,0.301029995663981,0.425720702549116,-0.025,0.901444788441692,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",108.2,NA,0,0,3,1,80
"gibraltar1","NE",0.5,NA,0.301029995663981,0.5,NA,0.301029995663981,0.425720702549116,0.037,2.77579365079365,6,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",107.1,1213,0,0,4,2,140
"spy_ii","NE",0.5,NA,0.301029995663981,0.8125,NA,0.090176630349088,0.314246532121792,-0.064,0.722035071197721,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",NA,1287,0,0,3,1,86
"sh5","NE",0.63671875,NA,0.196052360907892,0.890625,NA,0.0503051183113958,0.202403392130374,-0.179,2.26111991330548,7,3,0.429,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",113.8,1092,0,0,5,2,144
"la_chapelle_aux_saint","NE",0.7734375,NA,0.111574775050318,0.953125,NA,0.0208501389731201,0.113506205657345,-0.135,0.850164423997797,6,2,0.333,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",103.9,1490,0,0,4,2,139
"shanidar_5","NE",0.8125,NA,0.090176630349088,0.8125,NA,0.090176630349088,0.127529013648786,-0.12,1.3840062682133,4,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",113.8,1550,0,0,3,1,102
"tabun_c1","NE",0.8125,NA,0.090176630349088,0.75,NA,0.1249387366083,0.154082810742776,-0.115,1.45882936507937,4,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",NA,1270.8,0,0,3,1,105
"saccopastore_i","NE",0.890625,NA,0.0503051183113958,0.78125,NA,0.107209969647868,0.118425430209142,-0.108,1.37675778416136,5,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",108.3,1234.3,0,0,4,1,131
"Neanderthal_type","NE",0.75,NA,0.1249387366083,1,NA,0,0.1249387366083,-0.123,0.123062015503876,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",NA,1337.8,0,0,1,0,47
"sh4","NE",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Cranial.capacit",NA,1360,0,0,0,0,18
